Date,Open,High,Low,Close,Adj Close,Volume
2013-12-30,558.078186,558.157898,552.439331,552.658508,552.658508,2481300
2013-12-31,554.043335,558.406982,551.064453,558.262512,558.262512,2725900
2014-01-02,555.647278,556.788025,552.060730,554.481689,554.481689,3656400
2014-01-03,555.418152,556.379578,550.401978,550.436829,550.436829,3345800
2014-01-06,554.426880,557.340942,551.154114,556.573853,556.573853,3551800
2014-01-07,560.399475,567.717041,558.486633,567.303589,567.303589,5124300
2014-01-08,570.860291,571.517822,564.528992,568.484192,568.484192,4501700
2014-01-09,569.585083,569.973572,560.678467,563.009705,563.009705,4184500
2014-01-10,567.413208,567.413208,559.029602,562.979797,562.979797,4302900
2014-01-13,561.131714,571.313599,556.499084,559.393250,559.393250,4855800
2014-01-14,566.850281,573.350952,561.938721,572.553955,572.553955,4983700
2014-01-15,574.342224,575.343445,569.759399,572.165405,572.165405,3915000
2014-01-16,572.404480,576.802979,571.856567,575.951172,575.951172,3380300
2014-01-17,576.265015,578.147949,569.963623,573.116821,573.116821,5422800
2014-01-21,578.297424,579.826660,573.500366,579.677246,579.677246,3974500
2014-01-22,581.126770,581.764404,577.266235,580.334778,580.334778,3154500
2014-01-23,577.834106,579.074463,575.029663,577.883972,577.883972,3912700
2014-01-24,573.355896,574.621155,559.403198,559.816650,559.816650,7814000
2014-01-27,560.947449,561.146667,539.114258,548.558838,548.558838,8739800
2014-01-28,553.086914,560.773071,552.897583,559.408203,559.408203,4436900
2014-01-29,557.470459,558.780579,547.657227,551.393250,551.393250,4777500
2014-01-30,570.362122,574.093140,561.520264,565.575073,565.575073,10220800
2014-01-31,583.487915,591.054565,573.415710,588.279968,588.279968,11174200
2014-02-03,587.398315,588.653564,563.891418,564.598755,564.598755,9172400
2014-02-04,566.870239,575.343445,566.382080,566.954895,566.954895,5644800
2014-02-05,569.555176,573.236389,561.903870,569.465515,569.465515,4806800
2014-02-06,573.415710,577.913818,571.632385,577.814209,577.814209,3907600
2014-02-07,581.634888,586.750732,578.113098,586.521545,586.521545,5292000
2014-02-10,583.712097,588.992310,582.327271,584.274963,584.274963,3904800
2014-02-11,587.881470,593.709656,583.916321,592.867798,592.867798,4116900
2014-02-12,592.279968,592.778137,588.484192,591.129272,591.129272,3461800
2014-02-13,588.170410,597.709656,587.627441,597.709656,597.709656,3686400
2014-02-14,595.572632,599.946228,594.172913,599.154236,599.154236,4389700
2014-02-18,598.461792,604.170410,597.759460,603.179138,603.179138,4233500
2014-02-19,600.399536,602.352234,596.514099,598.925110,598.925110,4222900
2014-02-20,599.323608,601.191589,597.869019,599.806763,599.806763,3414300
2014-02-21,601.649841,602.676025,599.174133,599.647400,599.647400,3738500
2014-02-24,600.429443,607.801819,600.299927,603.991089,603.991089,3361100
2014-02-25,605.699707,609.963684,602.950012,607.722107,607.722107,2888100
2014-02-26,609.714661,612.145508,604.613770,607.806763,607.806763,3979100
2014-02-27,606.920105,609.829224,606.232666,607.328613,607.328613,2529400
2014-02-28,607.891479,609.809265,600.857849,605.555237,605.555237,4644500
2014-03-03,601.121826,601.664795,593.844116,599.099426,599.099426,4225300
2014-03-04,605.231445,605.729553,602.491699,605.186584,605.186584,2946300
2014-03-05,605.256348,609.256348,603.443176,606.855347,606.855347,2479700
2014-03-06,608.857849,610.785645,607.024719,607.527832,607.527832,2545600
2014-03-07,611.109436,611.204041,603.458069,605.126831,605.126831,3041500
2014-03-10,605.575134,606.546509,599.796814,603.522827,603.522827,2438200
2014-03-11,604.618713,604.892700,596.085754,597.754456,597.754456,3438800
2014-03-12,595.966187,601.669800,589.883972,601.395813,601.395813,3943200
2014-03-13,601.719604,602.989868,590.167908,592.309875,592.309875,4708600
2014-03-14,588.788086,593.211487,584.075745,584.210266,584.210266,4604900
2014-03-17,587.423218,596.299927,586.855347,593.824219,593.824219,4340300
2014-03-18,595.104431,603.502930,594.302429,603.368408,603.368408,3643500
2014-03-19,603.637390,603.732056,594.974915,597.385864,597.385864,3237800
2014-03-20,597.734558,602.546509,595.448120,596.344727,596.344727,3381900
2014-03-21,600.902649,602.556458,589.017212,589.311096,589.311096,6441000
2014-03-24,589.883972,590.237671,570.835388,576.802979,576.802979,6096800
2014-03-25,580.822937,582.735779,571.358398,577.196533,577.196533,4838400
2014-03-26,578.835388,583.597534,563.637329,563.871460,563.871460,5179200
2014-03-27,566.444824,566.444824,551.406128,556.930969,556.930969,13100
2014-03-28,559.663452,564.879150,557.140381,558.456787,558.456787,41200
2014-03-31,565.337891,565.447571,555.405151,555.445007,555.445007,10800
2014-04-01,557.180237,566.893616,557.180237,565.607117,565.607117,7900
2014-04-02,598.347229,603.174011,560.650757,565.447571,565.447571,147100
2014-04-03,568.289734,585.672058,562.585449,568.180054,568.180054,5099100
2014-04-04,573.076599,576.188049,541.513306,541.652893,541.652893,6369300
2014-04-07,539.259460,546.978271,525.706665,536.676575,536.676575,4401600
2014-04-08,541.114380,553.480408,540.127075,553.380676,553.380676,3151200
2014-04-09,558.087769,563.822021,551.436035,562.595398,562.595398,3330800
2014-04-10,563.453064,563.453064,538.421753,539.468872,539.468872,4036800
2014-04-11,531.091858,538.521484,525.088379,529.147217,529.147217,3924800
2014-04-14,536.776306,542.610291,528.110046,531.061951,531.061951,2575000
2014-04-15,535.350220,536.975708,517.040466,534.971252,534.971252,3855000
2014-04-16,541.513306,555.474915,538.521484,555.016174,555.016174,4893200
2014-04-17,547.307373,547.995483,529.695740,534.632141,534.632141,6809500
2014-04-21,534.632141,535.230530,524.160889,527.172668,527.172668,2566700
2014-04-22,527.192566,535.759094,526.065674,533.345703,533.345703,2365300
2014-04-23,532.328491,532.408264,524.809143,525.497253,525.497253,2052300
2014-04-24,528.618652,530.194336,520.690430,523.722107,523.722107,1883100
2014-04-25,521.079407,523.263367,514.008789,514.766724,514.766724,2100300
2014-04-28,515.763977,517.180054,501.423340,515.734070,515.734070,3335500
2014-04-29,515.484741,528.010376,514.906311,526.255188,526.255188,2699000
2014-04-30,526.155457,526.554321,521.089355,525.218018,525.218018,1751100
2014-05-01,525.666809,531.470825,522.445618,529.895203,529.895203,1905500
