Date,Open,High,Low,Close,Adj Close,Volume
2013-12-26,90.099930,90.736534,90.070084,90.617172,83.859558,2184800
2013-12-27,90.845947,90.945419,90.587326,90.656960,83.896370,1071500
2013-12-30,90.836006,90.955368,90.308815,90.517700,83.767494,1458000
2013-12-31,90.388390,91.074730,90.249130,90.885742,84.108093,1464200
2014-01-02,90.477913,90.656960,89.572739,89.841301,83.141541,1753400
2014-01-03,90.010406,90.477913,89.851250,90.040245,83.325653,1480300
2014-01-06,90.467964,90.776321,89.920883,89.950722,83.242798,1966200
2014-01-07,90.089981,90.656960,89.990509,90.318764,83.583405,1582000
2014-01-08,89.592628,90.318764,89.443420,89.960670,83.252007,2659300
2014-01-09,90.408279,90.955368,89.771675,89.990509,83.279625,1822200
2014-01-10,90.189445,90.328705,89.284271,89.682152,82.994270,3014700
2014-01-13,89.393692,89.970612,88.269676,88.398987,81.806793,2490800
2014-01-14,88.796867,89.015701,87.652962,88.916229,82.285446,2916800
2014-01-15,89.353905,89.682152,89.125122,89.433479,82.764145,2484200
2014-01-16,89.383743,89.781624,89.264381,89.572739,82.892998,1647400
2014-01-17,89.741837,89.970612,89.184799,89.473267,82.800972,2614400
2014-01-21,90.129768,90.547539,89.373795,90.109871,83.390083,2516100
2014-01-22,90.428177,90.766373,89.741837,90.607224,83.850365,2750500
2014-01-23,89.881088,90.229240,88.757080,89.324059,82.662880,4200800
2014-01-24,89.075386,90.428177,87.961319,88.001106,81.438591,5049200
2014-01-27,88.757080,90.487862,88.757080,89.811462,83.113937,6622200
2014-01-28,89.781624,90.706696,89.662254,89.970612,83.261223,2943600
2014-01-29,89.115173,90.060135,88.786919,89.264381,82.607658,3985700
2014-01-30,90.209343,91.383087,89.970612,91.213989,84.411880,3167100
2014-01-31,90.119820,91.661606,89.781624,90.746483,83.979233,3726100
2014-02-03,90.746483,91.472610,88.190102,88.279625,81.696327,4258900
2014-02-04,88.488510,89.513054,87.802170,89.284271,82.626060,3956100
2014-02-05,88.727242,89.473267,88.040894,89.115173,82.469574,4295900
2014-02-06,89.433479,90.706696,89.294220,90.656960,83.896370,2196700
2014-02-07,91.204041,92.795563,90.985207,92.666252,85.755821,4218000
2014-02-10,92.606567,93.302856,92.009750,92.357895,85.470467,3298800
2014-02-11,92.606567,94.048882,92.447418,93.660950,86.676331,2994300
2014-02-12,94.058830,94.367188,93.412277,93.790260,86.796021,2491000
2014-02-13,92.984558,94.098618,92.765724,94.028992,87.016937,2351800
2014-02-14,93.989204,94.317451,93.392380,94.108566,87.090599,2571200
2014-02-18,93.909630,94.217987,93.372490,93.849945,86.851242,2353000
