Date,Open,High,Low,Close,Adj Close,Volume
2013-12-30,55.147499,55.404999,54.924999,55.227501,52.140041,5940000
2013-12-31,55.380001,55.680000,55.257500,55.669998,52.557812,6448400
2014-01-02,55.384998,55.507500,54.875000,55.252499,52.163647,10654000
2014-01-03,55.437500,55.622501,55.057499,55.290001,52.199055,7809600
2014-01-06,55.294998,55.577499,54.897499,54.957500,51.885147,8577600
2014-01-07,55.187500,55.527500,55.115002,55.377499,52.281658,8178000
2014-01-08,55.355000,55.750000,55.160000,55.555000,52.449242,8487200
2014-01-09,55.887501,56.130001,55.415001,55.477501,52.376072,8386400
2014-01-10,55.459999,55.685001,55.002499,55.282501,52.191975,6429600
2014-01-13,55.505001,56.047501,54.652500,54.724998,51.665630,13554400
2014-01-14,54.685001,55.662498,54.582500,55.662498,52.550728,10851600
2014-01-15,55.712502,56.224998,55.457500,55.939999,52.812710,11288000
2014-01-16,55.797501,55.939999,55.322498,55.442501,52.343025,13514000
2014-01-17,55.512501,58.064999,55.509998,58.044998,54.800034,38344400
2014-01-21,58.597500,58.875000,57.705002,57.982498,54.741028,19752400
2014-01-22,58.099998,58.455002,57.919998,58.247501,54.991222,7254400
2014-01-23,57.915001,58.082500,56.915001,57.062500,53.872467,13662400
2014-01-24,56.599998,56.740002,55.312500,55.312500,52.220299,16043200
2014-01-27,55.517502,55.517502,53.779999,54.055000,51.033092,19470800
2014-01-28,54.404999,55.590000,54.349998,55.240002,52.151855,17852400
2014-01-29,54.775002,55.185001,54.125000,54.279999,51.245514,16800000
2014-01-30,56.437500,56.500000,54.077499,55.220001,52.132973,20040400
2014-01-31,54.032501,54.724998,53.777500,53.857498,50.846642,24457200
2014-02-03,54.127499,54.459999,53.017502,53.367500,50.384026,21662400
2014-02-04,53.540001,53.970001,52.845001,53.634998,50.636574,14913600
2014-02-05,53.310001,54.185001,53.279999,53.902500,50.889118,13520800
2014-02-06,54.020000,54.752499,53.945000,54.752499,51.691605,12721600
2014-02-07,55.047501,55.500000,54.615002,55.445000,52.345379,12537200
2014-02-10,55.472500,55.532501,54.997501,55.137501,52.055080,10316800
2014-02-11,55.282501,55.722500,55.012501,55.582500,52.475197,9809600
2014-02-12,55.860001,56.224998,55.722500,56.042500,53.293007,14650800
2014-02-13,55.712502,56.187500,55.615002,56.012501,53.264477,13158800
2014-02-14,56.067501,56.560001,55.877499,56.500000,53.728069,12682000
2014-02-18,56.619999,57.119999,56.404999,56.514999,53.742336,13427200
2014-02-19,56.467499,56.947498,55.919998,55.970001,53.224060,9322000
